Name,Conditions,NCT_Number,Phases,Prob_unapproval,Prob_approval
_SILDENAFIL,GLAUCOMA,NCT04052269,Phase 3,0.3182923257496039,0.6817076742503958
_TRIAMCINOLONE,CHALAZION,NCT02025023,Phase 3,0.021739412036420002,0.9782605879635802
_TRIAMCINOLONE_ACETONIDE,CHALAZION,NCT02025023,Phase 3,0.05971991628485233,0.9402800837151476
_TRIAMCINOLONE,AGE-RELATED MACULAR DEGENERATION,NCT04292756,Not Applicable,0.0,1.0
_TRIAMCINOLONE_ACETONIDE,AGE-RELATED MACULAR DEGENERATION,NCT04292756,Not Applicable,0.004958257443775736,0.9950417425562244
_METHOTREXATE,UVEITIS|MACULAR EDEMA,NCT02623426,Phase 3,0.1406998938483967,0.859300106151603
_DEXAMETHASONE,UVEITIS|MACULAR EDEMA,NCT02623426,Phase 3,0.0,1.0
_METHOTREXATE,PROLIFERATIVE VITREORETINOPATHY,NCT04482543,Phase 2|Phase 3,0.10218217577589257,0.8978178242241072
_ACYCLOVIR,UVEITIS,NCT03389191,Not Applicable,0.28492382792784854,0.7150761720721515
_TARTRATE,OPEN ANGLE GLAUCOMA|OCULAR HYPERTENSION,NCT03450629,Phase 3,0.04133279043273544,0.9586672095672646
_BRIMONIDINE,OPEN ANGLE GLAUCOMA|OCULAR HYPERTENSION,NCT03450629,Phase 3,0.012230281117608807,0.9877697188823912
_BRIMONIDINE_TARTRATE,OPEN ANGLE GLAUCOMA|OCULAR HYPERTENSION,NCT03450629,Phase 3,0.02426564206874198,0.975734357931258
_METFORMIN,PRIMARY OPEN ANGLE GLAUCOMA,NCT04155164,Not Applicable,0.22306933183383357,0.776930668166166
_KETAMINE,TINNITUS,NCT03336398,Phase 2,0.10609887222700015,0.8939011277729995
_KETAMINE_HYDROCHLORIDE,TINNITUS,NCT03336398,Phase 2,0.31568787682737465,0.6843121231726255
_TIMOLOL,PRIMARY OPEN ANGLE GLAUCOMA,NCT03193333,Phase 3,0.0034623115577889444,0.996537688442211
_DORZOLAMIDE,PRIMARY OPEN ANGLE GLAUCOMA,NCT03193333,Phase 3,0.034089638019371996,0.965910361980628
_BRIMONIDINE,PRIMARY OPEN ANGLE GLAUCOMA,NCT03193333,Phase 3,0.002369325997248968,0.9976306740027511
_TIMOLOL,"GLAUCOMA, PRIMARY OPEN ANGLE|OCULAR HYPERTENSION",NCT04149899,Phase 1|Phase 2,0.0016674733785091967,0.9983325266214907
_LATANOPROST,OPEN ANGLE GLAUCOMA,NCT04060758,Phase 1,0.05777416937022666,0.9422258306297732
_BIMATOPROST,OPEN-ANGLE GLAUCOMA|OCULAR HYPERTENSION,NCT04285580,Phase 3,0.04820100758902684,0.951798992410973
_OXYTOCIN,TINNITUS,NCT04210310,Not Applicable,0.379734557873105,0.620265442126895
_HYALURONATE,GLAUCOMA,NCT03758859,Not Applicable,0.3532140439441587,0.6467859560558415
_NETARSUDIL,"GLAUCOMA, OPEN-ANGLE",NCT04234932,Early Phase 1,0.23688781513283844,0.7631121848671616
_METFORMIN,DIABETIC RETINOPATHY,NCT02587741,Early Phase 1,0.22306933183383357,0.776930668166166
_SODIUM_CHLORIDE,CORNEAL EDEMA,NCT04125394,Not Applicable,0.30682677844310546,0.6931732215568944
_VENLAFAXINE,MENIERE'S DISEASE,NCT04218123,Phase 2|Phase 3,0.1508570480033172,0.8491429519966829
_DOM,FUCHS' ENDOTHELIAL DYSTROPHY,NCT02542644,Not Applicable,0.3115933224996348,0.6884066775003654
_MITOMYCIN,RECURRENT PTERYGIUM,NCT04463901,Not Applicable,0.009326712360885331,0.9906732876391147
_PILOCARPINE,"GLAUCOMA, ANGLE-CLOSURE",NCT02613013,Not Applicable,0.0749923854114157,0.9250076145885842
_PROPARACAINE,"GLAUCOMA, ANGLE-CLOSURE",NCT02613013,Not Applicable,0.08086714924436361,0.9191328507556363
_CYCLOPENTOLATE,CATARACT SURGERY,NCT03375996,,0.1491970506316015,0.8508029493683985
_NETARSUDIL,FUCHS' ENDOTHELIAL DYSTROPHY,NCT03971357,Phase 2|Phase 3,0.23406229318986788,0.7659377068101323
_FUROSEMIDE,NASAL POLYPS,NCT03362515,Phase 2,0.21319145756602473,0.786808542433975
_FLUORESCEIN,RETINAL VEIN OCCLUSION|MACULAR EDEMA,NCT04140448,,0.2969998217797334,0.7030001782202666
